Title,Author,Genre,Pages,Year,Downloads,Rating
Life of Beethoven,"
Anton Schindler
",Music,306,1841,"6,998",0
A Book of German Lyrics,,Music,283,1921,"4,815",0
Hurst,"
Robin Crumby
",Music,396,2016,"3,085",0
Buch Der Lieder ,"
Heinrich Heine
",Music,196,1827,"4,842",4
"Beethoven: the Man and the Artist, as Revealed in his own Words","
Ludwig van Beethoven
",Music,180,1905,"6,719",5
"The Case of Wagner, Nietzsche Contra Wagner, and Selected Aphorisms.","
Friedrich Wilhelm Nietzsche
",Music,123,1911,"3,737",0
Ice Crown,"
Kay L. Moody
",Music,142,2019,"3,001",0
Lessons in Music Form,"
Percy Goetschius
",Music,131,1904,"4,007",4
Hymns and Spiritual Songs,"
Isaac Watts
",Music,0,,"4,908",0
Rev's Odyssey,"
R. R. Kaufman
",Music,349,2021,859,0
"Ancient Poems, Ballads and Songs of England",,Music,574,,"6,929",0
Becoming Bader,"
T.K. Eldridge
",Music,65,2022,"2,919",0
Book of Hymns for Public and Private Devotion,,Music,513,1848,"3,747",0
"Beethoven's Letters 1790-1826, Volume 2","
Ludwig van Beethoven
",Music,216,1826,"5,855",0
Ladies and Gentlemen...The Redeemers,"
Michael Scott Miller
",Music,212,2010,"4,361",0
Fireplay,"
Steve P. Vincent
",Music,51,2017,"1,525",0
Under the Greenwood Tree,"
Thomas Hardy
",Music,169,1872,"4,169",0
AL Clark,"
Jonathan G. Meyer
",Music,284,2014,"4,007",4.5
Beethoven,"
George Alexander Fischer
",Music,177,1905,"9,242",0
Unforgettable,"
Linda Barrett
",Music,204,2021,"2,169",0
Ballads of Scottish Tradition and Romance,,Music,241,1903,"3,916",0
How to Sing,"
Lilli Lehmann
",Music,120,1902,"7,886",0
The Reluctant Coroner,"
Paul Austin Ardoin
",Music,346,2018,"3,712",0
Beethoven,"
Thomas Tapper
",Music,29,1917,"12,320",0
The Acorn-Planter,"
Jack London
",Music,55,1916,"4,775",0
Chicken Culprit,"
Vikki Walton
",Music,434,2018,"1,838",0
When We Let Go,"
Delancey Stewart
",Music,280,2018,"4,423",0
Kashmir,"
Sir Younghusband Francis Edward
",Music,181,1911,"22,205",0
Chosen,"
Christine Pope
",Music,382,2015,"2,492",0
"How to Listen to Music, 7th ed.","
Henry Edward Krehbiel
",Music,226,1897,"3,910",0
A Book of Operas,"
Henry Edward Krehbiel
",Music,247,1917,"6,302",0
Twelve Times Zero,"
Howard Browne
",Mystery/Detective,79,1952,"1,708",3.5
Fighting Dirty,"
Blair Denholm
",Mystery/Detective,59,2020,"2,832",0
Jacob's Ladder,"
E. Phillips Oppenheim
",Mystery/Detective,,1921,"1,703",4
The Adventure of the Bruce-Partington Plans,"
Arthur Conan Doyle
",Mystery/Detective,39,1912,"25,018",3.5
The Adventures of Sherlock Holmes,"
Arthur Conan Doyle
",Mystery/Detective,236,1892,"558,521",4.4
The Adventure of the Cardboard Box,"
Arthur Conan Doyle
",Mystery/Detective,27,1917,"47,797",4
The After House,"
Mary Roberts Rinehart
",Mystery/Detective,164,1914,"42,960",3.6363636363636
By Wit of Woman,"
Arthur W. Marchmont
",Mystery/Detective,268,1905,"32,146",0
The Passenger from Scotland Yard,"
H. Freeman Wood
",Mystery/Detective,288,1888,"1,709",5
Publishable By Death,"
Andi Cumbo-Floyd
",Mystery/Detective,232,2019,"2,722",5
Detective Burns' Great Cases--Ulrich: A Soldier of Fortune,"
Dana Gatlin
",Mystery/Detective,0,1911,"1,673",3
The Loudwater Mystery,"
Edgar Jepson
",Mystery/Detective,191,1920,"1,645",2
Nor Iron Bars a Cage....,"
Randall Garrett
",Mystery/Detective,54,1962,"1,645",3
The Crime of the Boulevard,"
Jules Claretie
",Mystery/Detective,,1897,"1,647",0
Hilda Wade,"
Grant Allen
",Mystery/Detective,215,1899,"1,654",4
Dead & Buried,"
T.K. Eldridge
",Mystery/Detective,188,2021,"2,514",0
A Study In Scarlet,"
Arthur Conan Doyle
",Mystery/Detective,119,1887,"79,008",4.5789473684211
True Stories of Crime From the District Attorney's Office,"
Arthur Cheney Train
",Mystery/Detective,187,1908,"1,698",0
Rise of The Iron Eagle,"
Roy A. Teel Jr.
",Mystery/Detective,241,2014,"1,657",0
The Ghost Breaker,"
Charles Goddard
Paul Dickey
",Mystery/Detective,,1915,"1,691",0
The Woman in White,"
Wilkie Collins
",Mystery/Detective,615,1860,"67,266",4.1739130434783
The Mysterious Affair at Styles,"
Agatha Christie
",Mystery/Detective,167,1920,"89,928",3.8888888888889
'Laramie',"
Charles King
",Mystery/Detective,177,1889,"28,555",4
The Return of Sherlock Holmes,"
Arthur Conan Doyle
",Mystery/Detective,269,1904,"49,175",4.8571428571429
The Almost Perfect Murder,"
Hulbert Footner
",Mystery/Detective,631,1937,"33,024",5
"Anthony Trent, Master Criminal","
Wyndham Martyn
",Mystery/Detective,219,1918,"1,649",4
The Thirty-Nine Steps,"
John Buchan
",Mystery/Detective,101,1915,"37,973",4.1111111111111
The Red Seal,"
Natalie Sumner Lincoln
",Mystery/Detective,163,1920,"1,661",4.6666666666667
The Last Stroke,"
Lawrence L. Lynch
",Mystery/Detective,213,1896,"1,654",3.3333333333333
Missing,"
Adam Nicholls
",Mystery/Detective,266,2021,"10,609",4.5
The Symposium,"
Xenophon
",Mystery/Detective,,,"1,682",0
The Moonstone,"
Wilkie Collins
",Mystery/Detective,447,1868,"31,844",4.75
The Ralston Bank Burglary,"
Jacques Futrelle
",Mystery/Detective,37,1907,"1,688",0
The Adventure of the Dying Detective,"
Arthur Conan Doyle
",Mystery/Detective,26,1917,"32,596",4.3333333333333
The Biggest Liar in Los Angeles,"
Ken Kuhlken
",Mystery/Detective,263,2020,"1,491",5
Collected Works of Poe,"
Edgar Allan Poe
",Mystery/Detective,207,,"93,692",5
The Dead Hand,"
L. T. Meade
",Mystery/Detective,19,1902,"1,707",3
Deadly Undertaking,"
Allen Gregory
",Mystery/Detective,57,,"1,985",5
The Accused,"
Harold R. Daniels
",Mystery/Detective,158,1958,"58,864",4.3076923076923
Berenice,"
E. Phillips Oppenheim
",Mystery/Detective,117,1907,"1,671",1
Lucius the Club,"
Michael Allen
",Mystery/Detective,78,2007,"1,667",5
The Valley of Fear,"
Arthur Conan Doyle
",Mystery/Detective,175,1914,"41,226",5
The Secret of the Tower,"
Anthony Hope
",Mystery/Detective,151,1919,"1,693",3
The Abandoned Room,"
Charles Wadsworth Camp
",Mystery/Detective,268,1917,"62,243",4.0434782608696
The Reluctant Coroner,"
Paul Austin Ardoin
",Mystery/Detective,346,2018,"3,712",0
The Sign of the Four,"
Arthur Conan Doyle
",Mystery/Detective,117,1890,"50,294",5
The Hound of the Baskervilles,"
Arthur Conan Doyle
",Mystery/Detective,149,1902,"68,868",4.7692307692308
Chicken Culprit,"
Vikki Walton
",Mystery/Detective,434,2018,"1,838",0
The House of a Thousand Candles,"
Meredith Nicholson
",Mystery/Detective,255,1905,"29,534",4.6842105263158
Skylar Robbins: The Mystery of the Hidden Jewels,"
Carrie Cross
",Mystery/Detective,261,2015,"4,459",5
A Life for a Life,"
Lynda McDaniel
",Mystery/Detective,329,2016,"2,077",0
A Ghost of a Chance,"
Cherie Claire
",Mystery/Detective,256,2017,"7,658",3.1428571428571
The Rome Express,"
Arthur Griffiths
",Mystery/Detective,0,1907,"1,664",3.75
Whose Body?,"
Dorothy L. Sayers
",Mystery/Detective,0,1923,"29,646",4
Le fauteuil hanté,"
Gaston Leroux
",Mystery/Detective,,1909,"1,675",0
The Secret Adversary,"
Agatha Christie
",Mystery/Detective,228,1922,"121,514",4.8
Maahengen salaisuus,"
Valter Juva
",Mystery/Detective,,1915,"1,647",4
The Forgotten Painting,"
Gabriel Farago
",Mystery/Detective,127,2016,939,0
Crime and Punishment ,"
Fyodor Dostoyevsky
",Mystery/Detective,491,1866,"127,536",4
The Moon Rock,"
Arthur J. Rees
",Mystery/Detective,,1922,"1,709",5
Myths of Greece and Rome,"
H. A. Guerber
",Myth,442,1893,"17,771",0
The Age of Chivalry,"
Thomas Bulfinch
",Myth,333,1858,"12,674",0
The Science of Fairy Tales,"
Edwin Sidney Hartland
",Myth,300,1891,"7,900",0
"Le Morte D'Arthur, vol 1","
Sir Malory Thomas
",Myth,495,1470,"177,997",1
Celtic Tales,"
Louey Chisholm
",Myth,77,,"9,770",4
Shimmer,"
Claudette Melanson
",Myth,10,2014,"1,691",5
Myths and Legends of Ancient Greece and Rome,"
E. M. Berens
",Myth,301,,"9,790",0
The Golden Bough,"
Sir James George Frazer
",Myth,975,1922,"13,009",4.5
Irish Fairy Tales,"
James Stephens
",Myth,237,1920,"7,409",5
An Old Babylonian Version of the Gilgamesh Epic,"
Morris Jastrow
Albert Tobias Clay
",Myth,0,1920,"13,722",0
The Age of Fable,"
Thomas Bulfinch
",Myth,400,1855,"13,156",5
Myths of the Norsemen,"
H. A. Guerber
",Myth,470,1909,"8,224",5
A Book of Myths,"
Jean Lang
",Myth,277,,"23,776",5
Ancient Tales and Folk-Lore of Japan,"
Richard Gordon Smith
",Myth,243,1918,"21,117",0
Legends of Gods and Ghosts (Hawaiian Mythology),"
W. D. Westervelt
",Myth,190,1915,"10,636",0
The Babylonian Legends of the Creation,"
Ernest Alfred Wallis Budge
",Myth,116,,"16,558",4
Au bonheur des dames,"
Émile Zola
",Myth,412,1883,"7,903",3
Bulfinch's Mythology,"
Thomas Bulfinch
",Myth,376,1880,"14,599",5
Myths That Every Child Should Know,"
Various Authors
",Myth,261,1906,"7,175",0
The Adventures of Odysseus and The Tales of Troy,"
Padraic Colum
",Myth,162,1918,"30,396",2.6666666666667
The Mahabharata of Krishna-Dwaipayana Vyasa,"
Kisari Mohan Ganguli
",Myth,764,,"7,255",4.3333333333333
"Le Morte D'Arthur, vol 2","
Thomas Malory
",Myth,637,1470,"188,356",0
King Arthur and His Knights,"
Maude L. Radford
",Myth,129,1903,"10,659",0
The Book of Nature Myths,"
Florence Holbrook
",Myth,150,1902,"8,803",0
The Ramayana,"
Valmiki
",Myth,1,1874,"19,410",4
Walking,"
Henry David Thoreau
",Nature,34,1862,"6,570",4
Pageant of Summer,"
Richard Jefferies
",Nature,0,1914,"20,000",0
After London,"
Richard Jefferies
",Nature,204,1885,"16,115",4
The Art of Perfumery,"
George William Septimus Piesse
",Nature,239,1857,"10,225",4
Adventures in Friendship,"
David Grayson
",Nature,140,1910,"14,076",4
Camp Life in the Woods and the Tricks of Trapping and Trap Making,"
William Hamilton Gibson
",Nature,277,1882,"7,341",1
Nature,"
Ralph Waldo Emerson
",Nature,43,1836,"6,756",5
An Elementary Study of Insects,"
Leonard Haseman
",Nature,68,1923,"9,665",0
The Man-Eaters of Tsavo,"
J. H. Patterson
",Nature,195,1919,"15,479",4.2
Edge of the Jungle,"
William Beebe
",Nature,166,1921,"8,584",5
The Adventures of Maya the Bee,"
Waldemar Bonsels
",Nature,130,1922,"6,486",0
The Birds,"
Aristophanes
",Nature,68,405,"7,402",0
Home Vegetable Gardening ,"
F. F. Rockwell
",Nature,0,,"11,279",0
Walden,"
Henry David Thoreau
",Nature,244,1854,"74,924",4
In the Wilderness,"
Charles Dudley Warner
",Nature,185,1878,"6,648",0
Happy Jack,"
Thornton W. Burgess
",Nature,88,1918,"8,179",0
"The Junior Classics, vol 8",,Nature,365,,"7,373",0
Lady Windermere's Fan,"
Oscar Wilde
",Nature,77,1917,"6,620",3
About Orchids,"
Frederick Boyle
",Nature,144,1893,"7,937",5
A Week on the Concord and Merrimack Rivers,"
Henry David Thoreau
",Nature,268,1849,"9,776",0
Science of Trapping,"
Elmer Harry Kreps
",Nature,110,1909,"7,009",0
The Adventures of Buster Bear,"
Thornton W. Burgess
",Nature,66,1916,"11,078",0
Agriculture for Beginners,"
Daniel Harvey Hill
Frank Lincoln Stevens
Charles William Burkett
",Nature,264,1903,"16,591",4.5
The Book of Nature Myths,"
Florence Holbrook
",Nature,150,1902,"8,803",0
20000 Lieues sous les mers,"
Jules Verne
",Nautical,449,1870,"31,688",4
The Coral Island,"
Robert Michael Ballantyne
",Nautical,0,1857,"11,388",4
From Lower Deck to Pulpit,"
Henry Cowling
",Nautical,,1902,486,0
The After House,"
Mary Roberts Rinehart
",Nautical,164,1914,"42,960",3.6363636363636
The Mariner of St Malo,"
Stephen Leacock
",Nautical,63,1915,"14,362",0
Fulton's 'Steam Battery': Blockship and Catamaran,"
Howard Irving Chapelle
",Nautical,,1966,529,0
Riders to the Sea,"
J. M. Synge
",Nautical,26,1904,"22,772",3
Notes by the Way in A Sailor's Life,"
Arthur E. Knights
",Nautical,,1898,522,0
The Casting Away of Mrs. Lecks and Mrs. Aleshine,"
Frank R. Stockton
",Nautical,,1903,520,0
Adventure,"
Jack London
",Nautical,204,1911,"15,028",5
"20,000 Leagues Under the Sea","
Jules Verne
",Nautical,296,1870,"231,052",3.8936170212766
"Le Négrier, Vol. II","
Édouard Corbière
",Nautical,,1834,501,0
Persuasion,"
Jane Austen
",Nautical,150,1818,"130,903",4.8333333333333
The Chronicle of the Discovery and Conquest of Guinea,"
Gomes Eannes de Zurara
",Nautical,,1896,473,0
Treasure Island,"
Robert Louis Stevenson
",Nautical,194,1883,"59,560",4.7777777777778
Across the Spanish Main,"
Harry Collingwood
",Nautical,246,1906,"17,121",5
There She Blows!,"
William Hussey Macy
",Nautical,,1877,497,0
"Le Négrier, Vol. III","
Édouard Corbière
",Nautical,,1834,503,0
Rattlin the Reefer,"
Edward Howard
",Nautical,,,468,0
20.000 Mijlen onder Zee: Oostelijk Halfrond,"
Jules Verne
",Nautical,229,1870,"17,133",5
The Voyage of the Verrazzano,"
Henry C. Murphy
",Nautical,186,1875,475,0
A Svmmarie and Trve Discovrse of Sir Frances Drakes VVest Indian Voyage,"
Walter Biggs
",Nautical,,1589,470,0
Young Glory and the Spanish Cruiser,"
Walter Fenton Mott
",Nautical,,1898,465,0
"20,000 Leagues Under the Seas (2nd version)","
Jules Verne
",Nautical,453,1871,"56,382",5
The Wreck of the Titan,"
Morgan Robertson
",Nautical,202,1893,"11,782",4
Laperouse,"
Sir Scott Ernest
",Nautical,,1910,513,0
De Plantis Esculentis Insularum Oceani Australis Commentatio Botanica,"
Georg Forster
",Nautical,0,1785,473,0
Religious and Moral Poems,"
Phillis Wheatley
",Nautical,,,486,0
Captain Blood,"
Rafael Sabatini
",Nautical,329,1922,"22,880",4.75
Phantasten,"
Erich von Mendelssohn
",Nautical,141,1911,516,0
Billy Budd,"
Herman Melville
",Nautical,92,1886,"20,863",5
Lord Jim,"
Joseph Conrad
",Nautical,284,1900,"13,244",4.3333333333333
'Twixt Land and Sea Tales,"
Joseph Conrad
",Nautical,182,1912,"14,892",4
The Logbooks of the Lady Nelson,"
Ida Lee
",Nautical,,,523,5
Kidnapped,"
Robert Louis Stevenson
",Nautical,211,1886,"14,318",5
Life of Rear Admiral John Randolph Tucker,"
James Henry Rochelle
",Nautical,0,1903,483,0
Where Strongest Tide Winds Blew,"
Robert McReynolds
",Nautical,,1907,510,0
Three Men in a Boat,"
Jerome K. Jerome
",Nautical,181,1889,"78,207",4.8
The Voyage of the Oregon from San Francisco to Santiago in 1898,"
R. Cross
",Nautical,,1908,513,0
"Le Négrier, Vol. IV","
Édouard Corbière
",Nautical,,1834,505,0
The Sea Wolf,"
Jack London
",Nautical,286,1904,"12,740",4.6666666666667
The March of Portola and the Discovery of the Bay of San Francisco,"
Zoeth S. Eldredge and E. J. Molera
",Nautical,,,510,0
Ein Mann,"
Joachim Nettelbeck
",Nautical,,1910,476,0
Robinson Crusoe,"
Daniel Defoe
",Nautical,143,1719,"54,835",4
Moby Dick,"
Herman Melville
",Nautical,500,1851,"94,812",4.5
The Island of Doctor Moreau,"
H. G. Wells
",Nautical,117,1896,"31,914",4.5555555555556
De profundis! - Episode Maritime,"
Carolus
",Nautical,0,,484,0
The Riddle of the Sands,"
Erskine Childers
",Nautical,273,1903,"15,390",4
The Apple-Tree,"
L. H. Bailey
",Non-fiction,109,1922,"2,169",0
The Golden Age Cook Book,"
Henrietta Latham Dwight
",Non-fiction,183,1898,"2,177",0
1931: A Glance at the Twentieth Century,"
Henry Hartshorne
",Non-fiction,,1881,"2,166",0
The Grammar of English Grammars,"
Goold Brown
",Non-fiction,9,1851,"250,236",4.0952380952381
"The Notebooks, vol 1","
Leonardo Da Vinci
",Non-fiction,379,,"2,214",0
Fairy and Folk Tales of the Irish Peasantry,,Non-fiction,,1888,"2,194",0
Self Help,"
Samuel Smiles
",Non-fiction,321,1875,"31,866",4.25
Love for a Deaf Rebel,"
Derrick King
",Non-fiction,196,2021,"2,992",0
Vailima Letters,"
Robert Louis Stevenson
",Non-fiction,236,,"2,189",0
Robert's Rules of Order ,"
Henry M. Robert
",Non-fiction,123,1876,"36,483",5
Flatland (illustrated version),"
Edwin A. Abbott
",Non-fiction,106,1884,"38,997",4.0769230769231
Cozy Mysteries Cookbook,"
Hope Callaghan
",Non-fiction,354,2017,"3,401",5
U.S.A. Copyright Law,"
Library of Congress. Copyright Office
United States
",Non-fiction,335,2001,"2,213",0
Hold that Thought,"
Dave Mason
Chana Mason
",Non-fiction,188,2019,"5,163",5
Dinners and Luncheons,"
Paul Pierce
",Non-fiction,101,1907,"2,163",0
Genuine Mediumship or The Invisible Powers,"
William Walker Atkinson
",Non-fiction,,1919,"2,170",0
An Inquiry into the Nature and Causes of the Wealth of Nations,"
Adam Smith
Germain Garnier
",Non-fiction,955,1776,"57,408",5
Explanation of Terms Used in Entomology,"
John Bernhard Smith
",Non-fiction,299,1906,"2,183",0
"10,000 Dreams Interpreted","
Gustavus Hindman Miller
",Non-fiction,609,1909,"56,123",3.6666666666667
The Kama Sutra of Vatsyayana,"
Vatsyayana
",Non-fiction,196,,"50,771",0
The Power of Concentration,"
Theron Q. Dumont
",Non-fiction,104,1915,"49,619",4.7142857142857
The Rights of Man,"
Thomas Paine
",Non-fiction,217,1779,"32,992",5
Indian Games,"
Andrew McFarland Davis
",Non-fiction,53,1886,"2,218",5
The Age of Reason,"
D. J. Medley
",Non-fiction,209,1796,"120,476",3.5714285714286
"'Oh, Well, You Know How Women Are!' AND 'Isn't That Just Like a Man!'","
Irvin S. Cobb
Mary Roberts Rinehart
",Non-fiction,39,1920,"50,688",4
The Analects of Confucius,"
Confucius
",Non-fiction,73,,"90,591",2.6666666666667
Ten Days in a Mad-House,"
Nellie Bly
",Non-fiction,95,1887,"57,418",4.8333333333333
A Narrative of some of the Lord's Dealings with George Müller,"
George Müller
",Non-fiction,209,1845,"2,176",0
Relativity - The Special and General Theory,"
Albert Einstein
",Non-fiction,97,1916,"47,410",3
Jenny,"
Sigrid Undset
",Non-fiction,,1911,"2,164",0
Orchids,"
James O'Brien
",Non-fiction,109,,"2,199",0
The 2008 CIA World Factbook,"
United States. Central Intelligence Agency
",Non-fiction,1,2008,"38,013",0
The Author's Craft,"
Arnold Bennett
",Non-fiction,55,1914,"2,212",0
Worldwide Effects of Nuclear War - Some Perspectives,"
United States. Arms Control and Disarmament Agency
",Non-fiction,29,1975,"2,192",0
Masterpieces of Negro Eloquence,,Non-fiction,,1914,"2,163",0
Gitanjali,"
Rabindranath Tagore
",Non-fiction,53,1913,"30,599",3.75
Beyond Good and Evil,"
Friedrich Wilhelm Nietzsche
",Non-fiction,150,1886,"42,442",5
The Communist Manifesto,"
Karl Marx
Frederick Engels
",Non-fiction,43,1888,"190,542",3.5454545454545
How to Use Your Mind,"
Harry Dexter Kitson
",Non-fiction,123,1921,"66,091",4.25
Gulliver's Travels,"
Jonathan Swift
",Non-fiction,,1726,"49,199",4.5
Sequential Problem Solving,"
Fredric B. Lozo
",Non-fiction,67,1998,"2,174",5
Weather and Folk Lore of Peterborough and District,"
Charles Dack
",Non-fiction,,1856,"2,170",0
Breadcrumbs: A Collection of Spiritual and Philosophical Essays,"
Francis J. Shaw
",Non-fiction,75,2017,"1,973",2
De francicae linguae recta pronuntiatione,"
Théodore de Bèze
",Non-fiction,0,,"2,182",3
The Worst Journey in the World,"
Apsley Cherry-Garrard
",Non-fiction,595,1922,"2,172",0
On the Origin of Species,"
Charles Darwin
",Non-fiction,360,1859,"78,334",4
'Boy Wanted',"
Nixon Waterman
",Non-fiction,108,1906,"2,216",0
Oliver Twist,"
Charles Dickens
",Non-fiction,358,1839,"55,864",3.5
Beeton's Book of Needlework,"
Isabella Mary Beeton
",Non-fiction,305,1870,"2,175",1
Above the Snow Line,"
Clinton Thomas Dent
",Non-fiction,,1885,"2,177",0
365 Foreign Dishes,"
Unknown
",Non-fiction,81,1908,"34,014",0
Hacker Crackdown,"
Bruce Sterling
",Non-fiction,303,1994,"35,109",4.6666666666667
How to Read the Crystal,"
Walter Gorn Old
",Occult,41,1922,"7,600",2
The Lair of the White Worm,"
Bram Stoker
",Occult,153,1911,"9,326",3.75
The Mystery of the Four Fingers,"
Fred M. White
",Occult,222,1908,"5,911",2.3333333333333
Palmistry for All,"
Cheiro
",Occult,151,1916,"87,210",3.5
Across the Stream,"
E. F. Benson
",Occult,258,1917,"22,968",3
An Outline of Occult Science,"
Rudolph Steiner
",Occult,283,1913,"18,224",2.5
Occult Chemistry,"
C. W. Leadbeater
Annie Besant
",Occult,98,1919,"7,427",5
Fourteen Lessons in Yogi Philosophy and Oriental Occultism,"
Yogi Ramacharaka
",Occult,160,1903,"19,989",5
Byways of Ghost-Land,"
Elliott O'Donnell
",Occult,167,1911,"13,973",0
The Centaur,"
Algernon Blackwood
",Occult,266,1911,"11,240",3.25
Death--and After?,"
Annie Besant
",Occult,70,1906,"13,211",5
A History of Witchcraft in England from 1558 to 1718,"
Wallace Notestein
",Occult,420,1909,"8,033",0
Studies in Occultism; A Series of Reprints from the Writings of H. P. Blavatsky,"
Helena Petrovna Blavatsky
",Occult,46,1910,"6,999",0
Fire-Tongue,"
Sax Rohmer
",Occult,189,1921,"7,526",3.8333333333333
Clarimonde,"
Théophile Gautier
",Occult,35,1908,"52,233",4
Esoteric Christianity,"
Annie Besant
",Occult,280,1905,"11,651",5
Black Magic,"
Marjorie Bowen
",Occult,759,1909,"25,220",2.6666666666667
The Conjure Woman,"
Charles W. Chesnutt
",Occult,153,1899,"7,195",3
The Ghost Signal,"
Jimmy Ghinis
",Occult,41,2019,965,2.5
Revolt of the Rats,"
Reed Blitzerman
",Occult,193,2015,"1,019",0
Winter Trials (Northern Witch #1),"
K.S. Marsden
",Occult,89,2016,"6,868",5
Hidden Symbolism of Alchemy and the Occult Arts,"
Herbert Silberer
",Occult,333,1917,"17,945",0
The Mystery of Cloomber,"
Arthur Conan Doyle
",Occult,124,1889,"8,540",4.1666666666667
The Shadow Rises (Witch-Hunter #1),"
K.S. Marsden
",Occult,249,2013,"1,191",3
Clairvoyance and Occult Powers,"
William Walker Atkinson
",Occult,235,1916,"29,462",4.5
The Rosicrucian Mysteries,"
Max Heindel
",Occult,160,1911,"8,875",3
The Cry at Midnight,"
Mildred Augustine Wirt
",Occult,176,1947,"8,000",4
"Punch, or the London Charivari, Vol. CLVIII, January 7, 1920",,Periodical,,1920,388,0
"Punch, or The London Charivari",,Periodical,,1891,393,0
"Astounding Stories of Super-Science, March 1930",,Periodical,225,1930,"4,934",0
"Harper's New Monthly Magazine, Volume 1, No. 4, September, 1850",,Periodical,,1850,"7,185",0
Mostly Dark,"
Miranda Kate
",Periodical,84,2018,"2,537",0
"Astounding Stories of Super-Science, July 1930",,Periodical,259,1930,"6,416",0
"Harper's New Monthly Magazine, Vol. 3, July, 1851",,Periodical,,1851,"7,292",0
"Punch, or the London Charivari, Vol. 147, December 30, 1914",,Periodical,,1914,391,0
"Tales from Blackwood, Volume 3","
Mrs. Keene S. F.
",Periodical,,1843,396,0
Titanic,"
Filson Young
",Periodical,108,1912,"6,475",5
Harper's New Monthly Magazine,,Periodical,0,1851,"5,727",0
"Astounding Stories of Super-Science, September 1930",,Periodical,260,1930,"5,329",0
"Punch, or the London Charivari, Vol. 147, November 18, 1914",,Periodical,,1914,396,0
"The Atlantic Monthly, Volume 11, No. 68, June, 1863",,Periodical,0,1863,390,0
"Punch, or the London Charivari, Vol. 104, April 22, 1893",,Periodical,,1893,394,0
"Punch, or the London Charivari",,Periodical,,,387,0
"Astounding Stories of Super-Science, January 1931",,Periodical,224,1931,"5,599",0
The Economist,,Periodical,130,1843,"8,603",0
Hurst,"
Robin Crumby
",Periodical,396,2016,"3,085",0
Ice Crown,"
Kay L. Moody
",Periodical,142,2019,"3,001",0
"Punch, or the London Charivari",,Periodical,,1917,391,0
"Harper's New Monthly Magazine, February, 1852",,Periodical,,1852,"7,168",0
"Astounding Stories, April, 1931",,Periodical,259,1931,"5,768",0
"Punch, or the London Charivari, Vol. 158, May 12, 1920",,Periodical,,1920,395,0
"Punch, or the London Charivari",,Periodical,,1919,392,0
Rev's Odyssey,"
R. R. Kaufman
",Periodical,349,2021,859,0
Becoming Bader,"
T.K. Eldridge
",Periodical,65,2022,"2,919",0
American Cookery: Thanksgiving Menus and Recipes,,Periodical,176,1921,"11,620",0
"Astounding Stories, June, 1931",,Periodical,0,1931,"5,362",4
Fireplay,"
Steve P. Vincent
",Periodical,51,2017,"1,525",0
The American Quarterly Review,,Periodical,,1831,396,0
"Astounding Stories of Super-Science, August 1930",,Periodical,271,1930,"7,645",0
"Punch, or the London Charivari",,Periodical,,1917,389,0
"Harper's New Monthly Magazine, Volume 1, No. 3, August, 1850.",,Periodical,359,1850,"7,331",0
Astounding Stories of Super-Science April 1930,"
Anthony Pelcher
",Periodical,256,1930,"7,311",0
"Harper's New Monthly Magazine, Volume 1, No. 2, July, 1850.",,Periodical,0,1850,"7,149",0
AL Clark,"
Jonathan G. Meyer
",Periodical,284,2014,"4,007",4.5
"Punch, or the London Charivari, Vol. 104, April 29, 1893",,Periodical,,1893,398,0
"Harper's New Monthly Magazine, Volume 2, No. 12, May, 1851.",,Periodical,,1851,"7,208",0
Astounding Stories of Super-Science,,Periodical,300,1930,"10,916",0
"Astounding Stories of Super-Science, May, 1930",,Periodical,263,1930,"5,247",0
Unforgettable,"
Linda Barrett
",Periodical,204,2021,"2,169",0
"Buchanan's Journal of Man, October 1887",,Periodical,,1887,388,0
"Punch or the London Charivari, Vol. 147, December 23, 1914",,Periodical,,1914,398,0
"Punchinello, vol 1, no. 2 (Apr 9, 1870)","
Various Authors
",Periodical,,1870,396,0
"Harper's New Monthly Magazine, No. 22, March, 1852, Volume 4.",,Periodical,,1852,"7,060",0
"Punch, or the London Charivari",,Periodical,,1917,388,0
The Reluctant Coroner,"
Paul Austin Ardoin
",Periodical,346,2018,"3,712",0
"Harper's New Monthly Magazine, No. V, October, 1850, Volume I.",,Periodical,,1850,"7,165",0
"Harper's New Monthly Magazine, Vol. 2, No. 8, January, 1851",,Periodical,,1851,"7,111",0
Chicken Culprit,"
Vikki Walton
",Periodical,434,2018,"1,838",0
When We Let Go,"
Delancey Stewart
",Periodical,280,2018,"4,423",0
"Buchanan's Journal of Man, August 1887","
Joseph Rodes Buchanan
",Periodical,,1887,390,0
"Punchinello, vol 1, no. 10","
Various Authors
",Periodical,,1870,397,0
"Punch, or the London Charivari",,Periodical,,1919,387,0
Chosen,"
Christine Pope
",Periodical,382,2015,"2,492",0
"Punch, or the London Charivari, May 6, 1914",,Periodical,,1914,389,0
"Punch, or the London Charivari, Vol. 98, March 29, 1890",,Periodical,,1890,393,0
"Armour's Monthly Cook Book, Volume 2, No. 12, October 1913",,Periodical,100,1913,"7,938",0
"Punch, or the London Charivari, Vol. 93. September 17, 1887",,Periodical,,1887,391,0
The Prince,"
Niccolò Machiavelli
",Philosophy,135,1513,"72,774",5
As a Man Thinketh,"
James Allen
",Philosophy,29,1902,"71,012",4.6666666666667
The Bible,"
Anonymous
",Philosophy,15,,"46,790",3.6666666666667
